time,latitude,longitude,accuracy,altitude,altitudeAccuracy,heading,speed
8:5:11:85,56.316272,44.070285,3.900000,151.1,0,313,8.956681251525879
8:5:11:783,56.316322,44.070192,2.500000,149.9,0,313,8.835721969604492
8:5:12:897,56.316380,44.070095,2.400000,149.4,0,313,8.960284233093262
8:5:14:162,56.316435,44.069987,3.900000,149,0,312,9.335516929626465
8:5:14:235,56.316435,44.069987,2.400000,149,0,312,9.335516929626465
8:5:14:954,56.316483,44.069877,2.400000,148.3,0,306,9.01741886138916
8:5:15:931,56.316527,44.069760,2.300000,147.5,0,303,9.003005981445312
8:5:16:656,56.316568,44.069637,2.300000,147.2,0,303,8.82903003692627
8:5:17:995,56.316605,44.069517,2.300000,146.5,0,297,8.677186965942383
8:5:18:727,56.316638,44.069393,2.300000,146.2,0,297,8.652995109558105
8:5:20:62,56.316670,44.069270,2.300000,145.7,0,295,8.631891250610352
8:5:20:774,56.316703,44.069142,3.900000,145.7,0,294,8.616450309753418
8:5:22:97,56.316738,44.069017,2.300000,145.8,0,294,8.34519100189209
8:5:22:834,56.316768,44.068893,2.300000,145.5,0,291,8.250997543334961
8:5:23:663,56.316795,44.068767,2.300000,145.4,0,292,8.2185697555542
8:5:24:968,56.316825,44.068645,2.300000,145.4,0,296,8.01988697052002
8:5:25:749,56.316853,44.068518,2.300000,145.5,0,291,8.130552291870117
8:5:26:877,56.316883,44.068395,3.400000,146.2,0,290,8.523284912109375
8:5:28:284,56.316918,44.068243,3.100000,146.3,0,294,8.727115631103516
8:5:29:52,56.316953,44.068108,2.900000,146.5,0,293,9.029256820678711
8:5:29:758,56.316983,44.067972,3.900000,147.3,0,291,9.127054214477539
8:5:31:83,56.317012,44.067830,2.700000,147.6,0,292,9.251102447509766
8:5:31:781,56.317045,44.067702,2.600000,148.2,0,293,9.25676441192627
8:5:33:175,56.317078,44.067572,2.600000,148.4,0,293,9.217645645141602
8:5:33:900,56.317108,44.067438,2.500000,148.4,0,293,9.0477876663208
8:5:34:654,56.317142,44.067312,2.400000,149,0,295,8.925798416137695
8:5:36:21,56.317175,44.067185,2.400000,148.9,0,295,8.79094123840332
8:5:36:755,56.317205,44.067063,2.400000,149,0,292,8.752851486206055
8:5:38:133,56.317237,44.066940,2.400000,148.9,0,293,8.637039184570312
8:5:38:871,56.317268,44.066815,2.300000,148.5,0,293,8.529461860656738
8:5:40:197,56.317302,44.066688,2.300000,148.5,0,294,8.83417797088623
8:5:40:955,56.317335,44.066567,2.300000,148.6,0,296,8.394604682922363
8:5:41:747,56.317372,44.066448,2.300000,148.7,0,298,8.422914505004883
8:5:43:162,56.317405,44.066333,2.200000,148.8,0,296,8.26129150390625
8:5:43:861,56.317440,44.066217,3.900000,149.3,0,296,8.040990829467773
8:5:44:612,56.317472,44.066102,2.200000,149.9,0,295,7.788261890411377
8:5:46:29,56.317502,44.065990,2.200000,150.4,0,294,7.460383892059326
8:5:46:753,56.317530,44.065882,2.100000,151,0,294,7.309055328369141
8:5:48:116,56.317558,44.065777,2.100000,151.5,0,294,7.194272518157959
8:5:48:836,56.317585,44.065673,2.100000,152,0,292,7.02595853805542
8:5:51:63,56.317635,44.065477,2.100000,152.6,0,295,6.510721206665039
8:5:51:808,56.317662,44.065382,3.900000,152.9,0,294,6.542634010314941
8:5:53:224,56.317687,44.065285,2.100000,153.4,0,292,6.506088733673096
8:5:53:943,56.317707,44.065192,2.100000,153.7,0,290,5.835920333862305
8:5:54:729,56.317727,44.065105,2.100000,153.8,0,294,5.951218128204346
8:5:56:75,56.317750,44.065017,3.900000,154.1,0,294,6.160195350646973
8:5:56:822,56.317773,44.064928,3.900000,154.6,0,294,5.881216049194336
8:5:57:613,56.317795,44.064838,3.100000,155.2,0,291,6.099973201751709
8:5:59:4,56.317812,44.064745,3.900000,155.2,0,289,5.8976874351501465
8:5:59:726,56.317830,44.064653,3.900000,155.3,0,288,5.980042934417725
8:6:0:812,56.317848,44.064563,2.600000,155.7,0,291,5.986734390258789
8:6:2:872,56.317882,44.064390,2.500000,155.9,0,285,5.286197185516357
8:6:3:624,56.317897,44.064302,2.500000,155.9,0,285,5.558485507965088
8:6:5:688,56.317927,44.064122,3.900000,156.7,0,286,5.548705577850342
8:6:7:66,56.317943,44.064037,3.900000,157,0,288,5.553852558135986
8:6:7:823,56.317960,44.063953,2.400000,157.4,0,288,5.281050205230713
8:6:8:567,56.317975,44.063867,3.900000,157.7,0,288,5.802463531494141
8:6:9:544,56.317992,44.063778,3.900000,158.6,0,286,5.884819030761719
8:6:9:838,56.317992,44.063778,2.400000,158.6,0,286,5.884819030761719
8:6:11:144,56.318008,44.063692,3.900000,159.3,0,289,5.544073104858398
8:6:12:603,56.318048,44.063527,2.300000,160,0,291,5.393259525299072
8:6:14:76,56.318067,44.063443,3.900000,160.2,0,291,5.640326023101807
8:6:14:902,56.318087,44.063357,2.300000,160.3,0,291,5.678930282592773
8:6:15:660,56.318103,44.063273,2.300000,160.6,0,289,5.266122817993164
8:6:16:998,56.318118,44.063192,2.300000,160.6,0,288,5.274358749389648
8:6:17:738,56.318137,44.063108,2.300000,160.8,0,292,5.462747097015381
8:6:19:135,56.318150,44.063030,2.400000,160.8,0,287,5.170384883880615
8:6:19:874,56.318165,44.062948,2.400000,161,0,288,5.1575164794921875
8:6:20:642,56.318182,44.062862,2.400000,161.1,0,290,5.535322666168213
8:6:22:100,56.318197,44.062773,3.900000,161.4,0,286,5.427231311798096
8:6:23:664,56.318225,44.062613,2.400000,161.8,0,289,4.460582733154297
8:6:25:898,56.318245,44.062532,2.400000,162.2,0,297,1.6471110582351685
8:6:26:655,56.318250,44.062527,2.300000,162.5,0,297,0.0427219457924366
8:6:28:40,56.318252,44.062527,2.400000,162.7,0,297,0
8:6:28:752,56.318250,44.062528,3.900000,162.8,0,297,0
8:6:30:168,56.318252,44.062530,2.300000,162.7,0,297,0
8:6:30:915,56.318252,44.062530,2.300000,162.7,0,297,0
8:6:31:650,56.318252,44.062530,2.300000,162.7,0,297,0
8:6:33:109,56.318252,44.062530,2.300000,162.7,0,297,0
8:6:34:623,56.318277,44.062393,3.400000,162.2,0,286,4.003509521484375
8:6:36:16,56.318283,44.062312,3.200000,162.4,0,285,5.055601596832275
8:6:36:763,56.318300,44.062215,3.100000,162.5,0,290,6.010926246643066
8:6:38:176,56.318317,44.062113,2.900000,162.5,0,289,6.467999458312988
8:6:38:953,56.318335,44.062013,2.800000,162.5,0,290,6.5719733238220215
8:6:39:720,56.318355,44.061908,2.700000,162.8,0,289,6.581753253936768
8:6:41:58,56.318377,44.061795,2.700000,162.5,0,288,7.232876777648926
8:6:41:830,56.318395,44.061685,2.700000,162.7,0,287,6.986324787139893
8:6:42:663,56.318415,44.061580,2.600000,163,0,288,7.233391284942627
8:6:44:749,56.318453,44.061352,2.600000,163.3,0,290,7.413544178009033
8:6:47:170,56.318500,44.061123,2.600000,163.2,0,292,7.502076625823975
8:6:47:885,56.318523,44.061005,2.600000,163.7,0,288,7.7270097732543945
8:6:48:672,56.318543,44.060887,3.900000,163.9,0,287,7.694582462310791
8:6:50:156,56.318567,44.060760,2.600000,163.9,0,286,7.8500285148620605
8:6:51:22,56.318578,44.060640,2.600000,163.8,0,277,8.154229164123535
8:6:51:792,56.318593,44.060520,2.600000,163.9,0,291,7.058385848999023
8:6:53:585,56.318633,44.060305,2.700000,163.8,0,291,6.644034385681152
8:6:55:47,56.318650,44.060202,3.900000,163.7,0,285,6.979118824005127
8:6:55:831,56.318670,44.060095,2.700000,163.8,0,284,7.2148613929748535
