time,x,y,z
13:28:37:730,2.13,1.38,9.73
13:28:37:904,1.16,1.93,10.32
13:28:37:992,0.46,-5.3,7.98
13:28:38:99,-0.34,4.22,7.93
13:28:38:223,7.46,19.6,19.6
13:28:38:292,7.36,-19.2,11.92
13:28:38:430,-1.76,5.33,0.39
13:28:38:477,-0.82,1.17,5.09
13:28:38:629,0.06,-6.42,13.01
13:28:38:733,-0.74,8.78,11.22
13:28:38:850,0.64,1,9.8
13:28:38:894,1.25,-3.21,9.64
13:28:39:21,-0.94,1.16,8
13:28:39:64,-0.94,1.16,8
13:28:39:187,-0.86,-1.93,10.57
13:28:39:279,1,-1.74,11.54
13:28:39:419,0.56,0.05,8.08
13:28:39:564,-0.97,-1.18,10.79
13:28:39:642,0.77,-2.55,9.53
13:28:39:780,-0.71,0.06,10.2
13:28:39:809,-0.59,-0.16,10.28
